FirstLetter,SecondLetter,ID,Weight,sentence,CorrectResp,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,introScreen.started,introScreen.stopped,responseIndicator1.started,responseIndicator1.stopped,mouse_1.started,mouse_1.stopped,instr_1.started,instr_1.stopped,continue_2.started,continue_2.stopped,mouse_2.started,mouse_2.stopped,instr_2.started,instr_2.stopped,continue_3.started,continue_3.stopped,mouse_3.started,mouse_3.stopped,instr_3.started,instr_3.stopped,continue_4.started,continue_4.stopped,mouse_4.started,mouse_4.stopped,letterAppear.started,letterAppear.stopped,letterAppear_2.started,letterAppear_2.stopped,mouseClear.x,mouseClear.y,mouseClear.leftButton,mouseClear.midButton,mouseClear.rightButton,mouseClear.started,mouseClear.stopped,correct,routineTime,mouseExit.x,mouseExit.y,mouseExit.leftButton,mouseExit.midButton,mouseExit.rightButton,mouseExit.time,mouseExit.clicked_name,mouseExit.started,mouseExit.stopped,mouse1.x,mouse1.y,mouse1.leftButton,mouse1.midButton,mouse1.rightButton,mouse1.time,mouse1.clicked_name,mouse1.started,mouse1.stopped,blankButton.started,blankButton.stopped,gatherResponseText.started,gatherResponseText.stopped,Fbutton.started,Fbutton.stopped,F_text.started,F_text.stopped,Pbutton.started,Pbutton.stopped,Qbutton.started,Qbutton.stopped,Jbutton.started,Jbutton.stopped,Hbutton.started,Hbutton.stopped,Kbutton.started,Kbutton.stopped,Tbutton.started,Tbutton.stopped,Sbutton.started,Sbutton.stopped,Nbutton.started,Nbutton.stopped,Rbutton.started,Rbutton.stopped,Ybutton.started,Ybutton.stopped,Lbutton.started,Lbutton.stopped,clearButton.started,clearButton.stopped,exitButton.started,exitButton.stopped,exitText.started,exitText.stopped,clearText.started,clearText.stopped,P_text.started,P_text.stopped,Q_text.started,Q_text.stopped,J_text.started,J_text.stopped,H_text.started,H_text.stopped,K_text.started,K_text.stopped,T_text.started,T_text.stopped,S_text.started,S_text.stopped,N_text.started,N_text.stopped,R_text.started,R_text.stopped,Y_text.started,Y_text.stopped,L_text.started,L_text.stopped,blankText.started,blankText.stopped,answer1.started,answer1.stopped,answer2.started,answer2.stopped,mouseBlank.x,mouseBlank.y,mouseBlank.leftButton,mouseBlank.midButton,mouseBlank.rightButton,mouseBlank.started,mouseBlank.stopped,instr_4.started,instr_4.stopped,continue_5.started,continue_5.stopped,mouse_5.started,mouse_5.stopped,instr_5.started,instr_5.stopped,continue_6.started,continue_6.stopped,mouse_6.started,mouse_6.stopped,instr_6.started,instr_6.stopped,continue_7.started,continue_7.stopped,mouse_7.started,mouse_7.stopped,sentenceText.started,sentenceText.stopped,continue_12.started,continue_12.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,senseText.started,senseText.stopped,trueButton.started,trueButton.stopped,trueText.started,trueText.stopped,falseButton.started,falseButton.stopped,falseText.started,falseText.stopped,mouse12.x,mouse12.y,mouse12.leftButton,mouse12.midButton,mouse12.rightButton,mouse12.time,mouse12.clicked_name,mouse12.started,mouse12.stopped,sentenceFeedback1.started,sentenceFeedback1.stopped,participant,session,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,4.720016208011657,None,4.720016208011657,None,0.01321294333320111,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1439,RSpan,2020.2.4,59.66865660720477,
,,,,,,,,,,,,,,,,,,,,5.003549016022589,None,5.003549016022589,None,0.013756210624706,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1439,RSpan,2020.2.4,59.66865660720477,
,,,,,,,,,,,,,,,,,,,,,,,,,,5.237195393012371,None,5.237195393012371,None,0.013584698725026101,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1439,RSpan,2020.2.4,59.66865660720477,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.503400728048291,None,5.503400728048291,None,0.014023885771166533,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1439,RSpan,2020.2.4,59.66865660720477,
1,None,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.903894884046167,6.908842219039798,6.87552888400387,None,-0.3933333333333333,-0.40555555555555556,1,0,0,None,None,0,1.2314103260287084,-0.17222222222222222,0.06555555555555556,1,0,0,0.3206505220150575,exitButton,0.014332704653497785,None,[],[],[],[],[],[],[],0.014332704653497785,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,7.908309193036985,None,-0.3933333333333333,-0.40555555555555556,1,0,0,0.014332704653497785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1439,RSpan,2020.2.4,59.66865660720477,
2,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.12578488100553,10.125360717007425,10.108516007021535,None,-0.3933333333333333,-0.40555555555555556,1,0,0,None,None,0,0.5473221900174394,-0.3933333333333333,-0.40555555555555556,1,0,0,0.5378198749967851,exitButton,0.014729880727827549,None,[],[],[],[],[],[],[],0.014729880727827549,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,11.125553918012884,None,-0.3933333333333333,-0.40555555555555556,1,0,0,0.014729880727827549,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1439,RSpan,2020.2.4,59.66865660720477,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.659688932006247,None,11.659688932006247,None,0.01138014835305512,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1439,RSpan,2020.2.4,59.66865660720477,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.558601708034985,None,12.558601708034985,None,0.01329876366071403,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1439,RSpan,2020.2.4,59.66865660720477,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.909271723008715,None,12.909271723008715,None,0.014173449715599418,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1439,RSpan,2020.2.4,59.66865660720477,
,,3,None,People in our town are more giving and cheerful at Christmas time. ,True,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.424903318053111,None,13.424903318053111,None,-0.3211111111111111,-0.2922222222222222,1,0,0,1.8256989989895374,0.007930293388199061,None,15.258940564002842,None,15.258940564002842,None,15.258940564002842,None,15.258940564002842,None,15.258940564002842,None,-0.21222222222222223,-0.21,1,0,0,1.2834458610159345,trueButton,0.011732613667845726,None,15.258940564002842,None,,001,,,2021_Aug_28_1439,RSpan,2020.2.4,59.66865660720477,
