FirstLetter,SecondLetter,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ID,sentence,CorrectResp,introScreen.started,introScreen.stopped,responseIndicator1.started,responseIndicator1.stopped,mouse_1.started,mouse_1.stopped,instr_1.started,instr_1.stopped,continue_2.started,continue_2.stopped,mouse_2.started,mouse_2.stopped,instr_2.started,instr_2.stopped,continue_3.started,continue_3.stopped,mouse_3.started,mouse_3.stopped,instr_3.started,instr_3.stopped,continue_4.started,continue_4.stopped,mouse_4.started,mouse_4.stopped,letterAppear.started,letterAppear.stopped,letterAppear_2.started,letterAppear_2.stopped,mouseClear.x,mouseClear.y,mouseClear.leftButton,mouseClear.midButton,mouseClear.rightButton,mouseClear.started,mouseClear.stopped,correct,routineTime,mouseExit.x,mouseExit.y,mouseExit.leftButton,mouseExit.midButton,mouseExit.rightButton,mouseExit.time,mouseExit.clicked_name,mouseExit.started,mouseExit.stopped,mouse1.x,mouse1.y,mouse1.leftButton,mouse1.midButton,mouse1.rightButton,mouse1.time,mouse1.clicked_name,mouse1.started,mouse1.stopped,blankButton.started,blankButton.stopped,gatherResponseText.started,gatherResponseText.stopped,Fbutton.started,Fbutton.stopped,F_text.started,F_text.stopped,Pbutton.started,Pbutton.stopped,Qbutton.started,Qbutton.stopped,Jbutton.started,Jbutton.stopped,Hbutton.started,Hbutton.stopped,Kbutton.started,Kbutton.stopped,Tbutton.started,Tbutton.stopped,Sbutton.started,Sbutton.stopped,Nbutton.started,Nbutton.stopped,Rbutton.started,Rbutton.stopped,Ybutton.started,Ybutton.stopped,Lbutton.started,Lbutton.stopped,clearButton.started,clearButton.stopped,exitButton.started,exitButton.stopped,exitText.started,exitText.stopped,clearText.started,clearText.stopped,P_text.started,P_text.stopped,Q_text.started,Q_text.stopped,J_text.started,J_text.stopped,H_text.started,H_text.stopped,K_text.started,K_text.stopped,T_text.started,T_text.stopped,S_text.started,S_text.stopped,N_text.started,N_text.stopped,R_text.started,R_text.stopped,Y_text.started,Y_text.stopped,L_text.started,L_text.stopped,blankText.started,blankText.stopped,answer1.started,answer1.stopped,answer2.started,answer2.stopped,mouseBlank.x,mouseBlank.y,mouseBlank.leftButton,mouseBlank.midButton,mouseBlank.rightButton,mouseBlank.started,mouseBlank.stopped,instr_4.started,instr_4.stopped,continue_5.started,continue_5.stopped,mouse_5.started,mouse_5.stopped,instr_5.started,instr_5.stopped,continue_6.started,continue_6.stopped,mouse_6.started,mouse_6.stopped,instr_6.started,instr_6.stopped,continue_7.started,continue_7.stopped,mouse_7.started,mouse_7.stopped,sentenceText.started,sentenceText.stopped,continue_12.started,continue_12.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,participant,session,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,34.07493846304715,None,34.07493846304715,None,0.0036807014839723706,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1530,RSpan,2020.2.4,59.88103985261751,
,,,,,,,,,,,,,,,,,,,34.392678791016806,None,34.392678791016806,None,0.014059508277568966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1530,RSpan,2020.2.4,59.88103985261751,
,,,,,,,,,,,,,,,,,,,,,,,,,34.62469141703332,None,34.62469141703332,None,0.01433126226766035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1530,RSpan,2020.2.4,59.88103985261751,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.84168407903053,None,34.84168407903053,None,0.014323459297884256,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1530,RSpan,2020.2.4,59.88103985261751,
1,None,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.22461753000971,36.2299905300024,36.19617730402388,None,-0.3888888888888889,-0.38222222222222224,1,0,0,None,None,0,1.2302293700049631,-0.19,0.1,1,0,0,0.5214984129997902,exitButton,0.014344161259941757,None,[],[],[],[],[],[],[],0.014344161259941757,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,37.22925989201758,None,-0.3888888888888889,-0.38222222222222224,1,0,0,0.014344161259941757,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1530,RSpan,2020.2.4,59.88103985261751,
2,None,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.446041835006326,39.44688078004401,39.42995835799957,None,-0.38666666666666666,-0.39666666666666667,1,0,0,None,None,0,0.2815028949989937,-0.38666666666666666,-0.39666666666666667,1,0,0,0.2706174720078707,exitButton,0.014582321280613542,None,[],[],[],[],[],[],[],0.014582321280613542,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,40.44646968599409,None,-0.38666666666666666,-0.39666666666666667,1,0,0,0.014582321280613542,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1530,RSpan,2020.2.4,59.88103985261751,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.71509958803654,None,40.71509958803654,None,0.010124113585334271,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1530,RSpan,2020.2.4,59.88103985261751,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.629063947009854,None,41.629063947009854,None,0.015350688307080418,None,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1530,RSpan,2020.2.4,59.88103985261751,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.01384737499757,None,42.01384737499757,None,0.013447125325910747,None,,,,,,,,,,,,,,001,,,2021_Aug_28_1530,RSpan,2020.2.4,59.88103985261751,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.52941376902163,None,42.52941376902163,None,-0.2644444444444444,-0.26555555555555554,1,0,0,0.6435381199698895,0.007302376558072865,None,,,,,,,,,
