FirstLetter,SecondLetter,ID,sentence,CorrectResp,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,introScreen.started,introScreen.stopped,responseIndicator1.started,responseIndicator1.stopped,mouse_1.started,mouse_1.stopped,instr_1.started,instr_1.stopped,continue_2.started,continue_2.stopped,mouse_2.started,mouse_2.stopped,instr_2.started,instr_2.stopped,continue_3.started,continue_3.stopped,mouse_3.started,mouse_3.stopped,instr_3.started,instr_3.stopped,continue_4.started,continue_4.stopped,mouse_4.started,mouse_4.stopped,letterAppear.started,letterAppear.stopped,letterAppear_2.started,letterAppear_2.stopped,mouseClear.x,mouseClear.y,mouseClear.leftButton,mouseClear.midButton,mouseClear.rightButton,mouseClear.started,mouseClear.stopped,correctLettersPractice,routineTime,mouseExit.x,mouseExit.y,mouseExit.leftButton,mouseExit.midButton,mouseExit.rightButton,mouseExit.time,mouseExit.clicked_name,mouseExit.started,mouseExit.stopped,mouse1.x,mouse1.y,mouse1.leftButton,mouse1.midButton,mouse1.rightButton,mouse1.time,mouse1.clicked_name,mouse1.started,mouse1.stopped,blankButton.started,blankButton.stopped,gatherResponseText.started,gatherResponseText.stopped,Fbutton.started,Fbutton.stopped,F_text.started,F_text.stopped,Pbutton.started,Pbutton.stopped,Qbutton.started,Qbutton.stopped,Jbutton.started,Jbutton.stopped,Hbutton.started,Hbutton.stopped,Kbutton.started,Kbutton.stopped,Tbutton.started,Tbutton.stopped,Sbutton.started,Sbutton.stopped,Nbutton.started,Nbutton.stopped,Rbutton.started,Rbutton.stopped,Ybutton.started,Ybutton.stopped,Lbutton.started,Lbutton.stopped,clearButton.started,clearButton.stopped,exitButton.started,exitButton.stopped,exitText.started,exitText.stopped,clearText.started,clearText.stopped,P_text.started,P_text.stopped,Q_text.started,Q_text.stopped,J_text.started,J_text.stopped,H_text.started,H_text.stopped,K_text.started,K_text.stopped,T_text.started,T_text.stopped,S_text.started,S_text.stopped,N_text.started,N_text.stopped,R_text.started,R_text.stopped,Y_text.started,Y_text.stopped,L_text.started,L_text.stopped,blankText.started,blankText.stopped,answer1.started,answer1.stopped,answer2.started,answer2.stopped,mouseBlank.x,mouseBlank.y,mouseBlank.leftButton,mouseBlank.midButton,mouseBlank.rightButton,mouseBlank.started,mouseBlank.stopped,instr_4.started,instr_4.stopped,continue_5.started,continue_5.stopped,mouse_5.started,mouse_5.stopped,instr_5.started,instr_5.stopped,continue_6.started,continue_6.stopped,mouse_6.started,mouse_6.stopped,instr_6.started,instr_6.stopped,continue_7.started,continue_7.stopped,mouse_7.started,mouse_7.stopped,sentenceText.started,sentenceText.stopped,continue_12.started,continue_12.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,correct,senseText.started,senseText.stopped,trueButton.started,trueButton.stopped,trueText.started,trueText.stopped,falseButton.started,falseButton.stopped,falseText.started,falseText.stopped,mouse12.x,mouse12.y,mouse12.leftButton,mouse12.midButton,mouse12.rightButton,mouse12.time,mouse12.clicked_name,mouse12.started,mouse12.stopped,sentenceFeedback2.started,sentenceFeedback2.stopped,instr_7.started,instr_7.stopped,continue_8.started,continue_8.stopped,mouse_8.started,mouse_8.stopped,instr_8.started,instr_8.stopped,continue_9.started,continue_9.stopped,mouse_9.started,mouse_9.stopped,instr_9.started,instr_9.stopped,continue_10.started,continue_10.stopped,mouse_10.started,mouse_10.stopped,instr_10.started,instr_10.stopped,continue_11.started,continue_11.stopped,mouse_11.started,mouse_11.stopped,sentenceText2.started,sentenceText2.stopped,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.started,mouse_12.stopped,continue_13.started,continue_13.stopped,text.started,text.stopped,participant,session,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,4.714963661001093,None,4.714963661001093,None,0.0011004876032529864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1033,RSpan,2020.2.4,59.923898566325754,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.763530082000216,None,4.763530082000216,None,0.013757986198470462,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1033,RSpan,2020.2.4,59.923898566325754,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.962780800000473,None,4.962780800000473,None,0.01421820519681205,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1033,RSpan,2020.2.4,59.923898566325754,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.179569399002503,None,5.179569399002503,None,0.01356177419438609,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1033,RSpan,2020.2.4,59.923898566325754,
1,None,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.348263235002378,6.347088814000017,6.330618068001058,None,-0.4088888888888889,-0.37777777777777777,1,0,0,None,None,0,0.41449604599984013,-0.4088888888888889,-0.37777777777777777,1,0,0,0.40390876500168815,exitButton,0.014020299200637965,None,[],[],[],[],[],[],[],0.014020299200637965,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,7.362860936002107,None,-0.4088888888888889,-0.37777777777777777,1,0,0,0.014020299200637965,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1033,RSpan,2020.2.4,59.923898566325754,
2,None,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7640782310008944,8.764032217000931,8.747139844002959,None,-0.3933333333333333,-0.3877777777777778,1,0,0,None,None,0,0.24734234000061406,-0.3933333333333333,-0.3877777777777778,1,0,0,0.236780754999927,exitButton,0.014555862198903924,None,[],[],[],[],[],[],[],0.014555862198903924,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,9.76403433700034,None,-0.3933333333333333,-0.3877777777777778,1,0,0,0.014555862198903924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1033,RSpan,2020.2.4,59.923898566325754,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.99751552700036,None,9.99751552700036,None,0.010945296398858773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1033,RSpan,2020.2.4,59.923898566325754,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.730958863001433,None,10.730958863001433,None,0.013591961200290825,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1033,RSpan,2020.2.4,59.923898566325754,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.913983504000498,None,10.913983504000498,None,0.01403410919738235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1033,RSpan,2020.2.4,59.923898566325754,
,,1,Andy was stopped by the policeman because he crossed the yellow heaven.   ,correct,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7335253630008083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.17990874500174,None,11.17990874500174,None,-0.3433333333333333,-0.31444444444444447,1,0,0,0.3603051609970862,0.008276318403659388,None,0,11.546836399000313,None,11.546836399000313,None,11.546836399000313,None,11.546836399000313,None,11.546836399000313,None,-0.18777777777777777,-0.16555555555555557,1,0,0,0.7331928099993092,trueButton,0.010285569198458688,None,12.279847779002012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1033,RSpan,2020.2.4,59.923898566325754,
