FirstLetter,SecondLetter,ID,sentence,CorrectResp,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,practiceSentence.thisRepN,practiceSentence.thisTrialN,practiceSentence.thisN,practiceSentence.thisIndex,introScreen.started,introScreen.stopped,responseIndicator1.started,responseIndicator1.stopped,mouse_1.started,mouse_1.stopped,instr_1.started,instr_1.stopped,continue_2.started,continue_2.stopped,mouse_2.started,mouse_2.stopped,instr_2.started,instr_2.stopped,continue_3.started,continue_3.stopped,mouse_3.started,mouse_3.stopped,instr_3.started,instr_3.stopped,continue_4.started,continue_4.stopped,mouse_4.started,mouse_4.stopped,letterAppear.started,letterAppear.stopped,letterAppear_2.started,letterAppear_2.stopped,mouseClear.x,mouseClear.y,mouseClear.leftButton,mouseClear.midButton,mouseClear.rightButton,mouseClear.started,mouseClear.stopped,correctLettersPractice,routineTime,mouseExit.x,mouseExit.y,mouseExit.leftButton,mouseExit.midButton,mouseExit.rightButton,mouseExit.time,mouseExit.clicked_name,mouseExit.started,mouseExit.stopped,mouse1.x,mouse1.y,mouse1.leftButton,mouse1.midButton,mouse1.rightButton,mouse1.time,mouse1.clicked_name,mouse1.started,mouse1.stopped,blankButton.started,blankButton.stopped,gatherResponseText.started,gatherResponseText.stopped,Fbutton.started,Fbutton.stopped,F_text.started,F_text.stopped,Pbutton.started,Pbutton.stopped,Qbutton.started,Qbutton.stopped,Jbutton.started,Jbutton.stopped,Hbutton.started,Hbutton.stopped,Kbutton.started,Kbutton.stopped,Tbutton.started,Tbutton.stopped,Sbutton.started,Sbutton.stopped,Nbutton.started,Nbutton.stopped,Rbutton.started,Rbutton.stopped,Ybutton.started,Ybutton.stopped,Lbutton.started,Lbutton.stopped,clearButton.started,clearButton.stopped,exitButton.started,exitButton.stopped,exitText.started,exitText.stopped,clearText.started,clearText.stopped,P_text.started,P_text.stopped,Q_text.started,Q_text.stopped,J_text.started,J_text.stopped,H_text.started,H_text.stopped,K_text.started,K_text.stopped,T_text.started,T_text.stopped,S_text.started,S_text.stopped,N_text.started,N_text.stopped,R_text.started,R_text.stopped,Y_text.started,Y_text.stopped,L_text.started,L_text.stopped,blankText.started,blankText.stopped,answer1.started,answer1.stopped,answer2.started,answer2.stopped,mouseBlank.x,mouseBlank.y,mouseBlank.leftButton,mouseBlank.midButton,mouseBlank.rightButton,mouseBlank.started,mouseBlank.stopped,instr_4.started,instr_4.stopped,continue_5.started,continue_5.stopped,mouse_5.started,mouse_5.stopped,instr_5.started,instr_5.stopped,continue_6.started,continue_6.stopped,mouse_6.started,mouse_6.stopped,instr_6.started,instr_6.stopped,continue_7.started,continue_7.stopped,mouse_7.started,mouse_7.stopped,sentenceText.started,sentenceText.stopped,continue_12.started,continue_12.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,text_3.started,text_3.stopped,correct,senseText.started,senseText.stopped,trueButton.started,trueButton.stopped,trueText.started,trueText.stopped,falseButton.started,falseButton.stopped,falseText.started,falseText.stopped,mouse12.x,mouse12.y,mouse12.leftButton,mouse12.midButton,mouse12.rightButton,mouse12.time,mouse12.clicked_name,mouse12.started,mouse12.stopped,sentenceFeedback2.started,sentenceFeedback2.stopped,correctSentence,totalCorrectSentence,participant,session,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,7.018970213997818,None,7.018970213997818,None,0.011092648004705552,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1857,RSpan,2020.2.4,60.288787025852216,
,,,,,,,,,,,,,,,,,,,7.151916146998701,None,7.151916146998701,None,0.0133738869917579,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1857,RSpan,2020.2.4,60.288787025852216,
,,,,,,,,,,,,,,,,,,,,,,,,,7.568590458002291,None,7.568590458002291,None,0.013551830001233611,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1857,RSpan,2020.2.4,60.288787025852216,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.818651647998195,None,7.818651647998195,None,0.013977427006466314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1857,RSpan,2020.2.4,60.288787025852216,
1,None,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.28476371600118,9.289038768001774,9.272533951996593,None,-0.39555555555555555,-0.39555555555555555,1,0,0,None,None,0,3.882551347996923,0.20666666666666667,0.21555555555555556,1,0,0,2.3327898749994347,exitButton,0.014333770996017847,None,[],[],[],[],[],[],[],0.014333770996017847,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,10.305218747002073,None,-0.39555555555555555,-0.39555555555555555,1,0,0,0.014333770996017847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1857,RSpan,2020.2.4,60.288787025852216,
2,None,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.172731767001096,15.172568488997058,15.155921176999982,None,-0.37,-0.39111111111111113,1,0,0,None,None,,,-0.37,-0.39111111111111113,1,0,0,1.4890487559969188,exitButton,0.014037779001228046,None,[],[],[],[],[],[],[],0.014037779001228046,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,16.172766352996405,None,-0.37,-0.39111111111111113,1,0,0,0.014037779001228046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1857,RSpan,2020.2.4,60.288787025852216,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.671922169000027,None,17.671922169000027,None,0.00968337199446978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1857,RSpan,2020.2.4,60.288787025852216,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.339633693001815,None,18.339633693001815,None,0.013816180995490868,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1857,RSpan,2020.2.4,60.288787025852216,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.77301609999995,None,18.77301609999995,None,0.014174289004586171,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1857,RSpan,2020.2.4,60.288787025852216,
,,1,Andy was stopped by the policeman because he crossed the yellow heaven.   ,incorrect,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5975649649990373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.388488281001628,None,19.388488281001628,None,-0.22777777777777777,-0.2777777777777778,1,0,0,1.0121160089984187,0.008379446000617463,None,19.388488281001628,None,Correct!,20.405086034996202,None,20.405086034996202,None,20.405086034996202,None,20.405086034996202,None,20.405086034996202,None,0.17666666666666667,-0.23444444444444446,1,0,0,1.5972683879954275,falseButton,0.009929566003847867,None,22.005559288001677,None,1,1,,001,,,2021_Aug_30_1857,RSpan,2020.2.4,60.288787025852216,
